# Listening Stats
# Exported: Tuesday, January 6, 2026 at 5:35:49 PM
# Format: Plays | Song | Artist | Album

56|These Demons (feat. MAJ)|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
49|Tone Deaf|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
49|Renegade (feat. Eminem)|JAY-Z|The Blueprint
47|squabble up|Kendrick Lamar|GNX
46|Alfred's Theme|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
44|The Next Episode (feat. Snoop Dogg)|Dr. Dre|2001
43|Book of Rhymes (feat. DJ Premier)|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
39|Discombobulated|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
38|Gnat|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
37|The Ringer|Eminem|Kamikaze
37|Higher|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
36|Killshot|Eminem|Killshot - Single
35|Killer|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
34|Like That|Future, Metro Boomin & Kendrick Lamar|WE DON'T TRUST YOU
33|wacced out murals|Kendrick Lamar|GNX
33|Forgot About Dre (feat. Eminem)|Dr. Dre|2001
31|Under the Bridge|Red Hot Chili Peppers|Greatest Hits
31|Gz|JID|God Does Like Ugly
31|Going Away to College|blink-182|Enema of the State
30|Still D.R.E. (feat. Snoop Dogg)|Dr. Dre|2001
28|Patiently Waiting (feat. Eminem)|50 Cent|Get Rich or Die Tryin' (Bonus Track Version)
28|F.I.C.O.|Clipse, Stove God Cooks, Pusha T & Malice|Let God Sort Em Out
27|Glory|JID|God Does Like Ugly
26|Power Trip (feat. Miguel)|J. Cole|Born Sinner (Deluxe Version)
26|Ice Cream|BLACKPINK & Selena Gomez|THE ALBUM
25|HUMBLE.|Kendrick Lamar|DAMN.
23|Lucky You (feat. Joyner Lucas)|Eminem|Kamikaze
23|Dance Now|JID & Kenny Mason|The Forever Story
22|Sk8|JID, Ciara & EARTHGANG|God Does Like Ugly
22|peekaboo (feat. AzChike)|Kendrick Lamar|GNX
22|Greatest|Eminem|Kamikaze
22|Feeling This|blink-182|Blink-182 (Bonus Track Version)
22|All the Small Things|blink-182|Enema of the State
21|Yellow|Coldplay|Parachutes
21|Dear Winter|AJR|Neotheater
21|Chains & Whips|Clipse, Kendrick Lamar, Pusha T & Malice|Let God Sort Em Out
20|YouUgly|JID & Westside Gunn|God Does Like Ugly
20|What's My Age Again?|blink-182|Enema of the State
20|The Scientist|Coldplay|A Rush of Blood to the Head
19|Kamikaze|Eminem|Kamikaze
19|Dysentery Gary|blink-182|Enema of the State
18|VCRs|JID & Vince Staples|God Does Like Ugly
18|Little Engine|Eminem|Music To Be Murdered By - Side B (Deluxe Edition)
18|Dumpweed|blink-182|Enema of the State
